feature,rho,p,abs_rho
cadencia,-0.8534684322754039,3.7309835279553e-112,0.8534684322754039
intervalo_medio,0.8534684322754039,3.7309835279553e-112,0.8534684322754039
amplitud_max,-0.7344895828650315,1.7479003382249517e-67,0.7344895828650315
amplitud_media,-0.7097165141521086,3.777421352708045e-61,0.7097165141521086
jerk_rms_angular,-0.6803552728415412,1.8664865241763018e-54,0.6803552728415412
jerk_rms,-0.6537032218954528,5.041398782144683e-49,0.6537032218954528
frecuencia,-0.6391809251016752,2.7365594137000434e-46,0.6391809251016752
amplitud_angular_media,-0.6295358369463849,1.4912757352419596e-44,0.6295358369463849
rms_acc_lateral,-0.3319890120764255,1.6323045923238727e-11,0.3319890120764255
velocidad_pico_max,-0.27683611613621145,2.611018873317967e-08,0.27683611613621145
compensacion_lateral,-0.2763450058204275,2.7693982491074624e-08,0.2763450058204275
energia_relativa_x,-0.2640875460418895,1.1602491346498555e-07,0.2640875460418895
rango_wx,-0.25463028944370436,3.3391221204414204e-07,0.25463028944370436
velocidad_pico_media,-0.1912513477605601,0.00014190663876406404,0.1912513477605601
rango_angular_total,0.16704589640374395,0.0009135789772191748,0.16704589640374395
rango_wz,-0.09723307648654038,0.0547243880830045,0.09723307648654038
rango_wy,0.04854663985898682,0.3383457843944049,0.04854663985898682
regularidad,-0.04587842647948476,0.36559299674852513,0.04587842647948476
amplitud_cv,0.04587842647948476,0.36559299674852513,0.04587842647948476
