feature,rank_LDA_original,imp_LDA_original,rank_KNN_original,imp_KNN_original,rank_LDA_ajustado,imp_LDA_ajustado
frecuencia,2,1.6415278843134102,4,0.1071611253196931,5,1.7453973062382842
cadencia,1,2.8411047439270307,1,0.2735294117647059,1,3.115265837548412
amplitud_media,5,1.4395866882874886,6,0.10306905370843988,2,2.3114962569707824
amplitud_cv,11,1.111647934575394,11,0.0843989769820972,12,1.199591179993052
amplitud_max,9,1.1280336997681892,7,0.09552429667519183,3,2.1708920978398645
amplitud_angular_media,13,0.5731809836199666,3,0.10728900255754477,4,1.7786688708378366
rango_angular_total,8,1.1483900965174656,13,0.06329923273657288,8,1.3750866376047592
velocidad_pico_media,4,1.4395866882874901,5,0.10306905370843988,7,1.5298085232815721
velocidad_pico_max,12,1.011067619675897,9,0.08849104859335037,13,1.0404979488740982
regularidad,10,1.1116479345753945,10,0.0843989769820972,11,1.1995911799930534
compensacion_lateral,3,1.5903423706811983,2,0.11061381074168797,6,1.7018538419078646
jerk_rms,7,1.3288899015278894,8,0.08913043478260871,10,1.3569864958766877
jerk_rms_angular,6,1.3384344137697672,12,0.07710997442455245,9,1.3679024954968104
energia_relativa_x,14,0.4746318309747241,14,0.05754475703324809,14,0.5067855941214071
