feature,H,p_valor,p_bonferroni,sig_bonf,sig_nominal,eta2,efecto,n_total,k_grupos
cadencia,19.002,0.0008,0.011,True,True,0.5556,grande,32,5
frecuencia,16.955,0.002,0.0276,True,True,0.4798,grande,32,5
jerk_rms,16.751,0.0022,0.0302,True,True,0.4723,grande,32,5
jerk_rms_angular,16.174,0.0028,0.0391,True,True,0.4509,grande,32,5
amplitud_media,11.639,0.0202,0.2834,False,True,0.2829,grande,32,5
velocidad_pico_media,11.639,0.0202,0.2834,False,True,0.2829,grande,32,5
amplitud_max,11.554,0.021,0.2939,False,True,0.2798,grande,32,5
velocidad_pico_max,11.071,0.0258,0.3609,False,True,0.2619,grande,32,5
compensacion_lateral,8.434,0.0769,1.0767,False,False,0.1642,grande,32,5
rango_angular_total,5.452,0.244,3.4154,False,False,0.0538,pequeño,32,5
regularidad,4.638,0.3265,4.5714,False,False,0.0236,pequeño,32,5
amplitud_cv,4.638,0.3265,4.5714,False,False,0.0236,pequeño,32,5
amplitud_angular_media,2.944,0.5673,7.942,False,False,0.0,ninguno,32,5
energia_relativa_x,3.215,0.5225,7.3152,False,False,0.0,ninguno,32,5
