feature,H,p_valor,p_bonferroni,sig_bonf,sig_nominal,eta2,efecto,n_total,k_grupos
cadencia,19.002,0.0008,0.0149,True,True,0.5556,grande,32,5
intervalo_medio,19.002,0.0008,0.0149,True,True,0.5556,grande,32,5
frecuencia,16.955,0.002,0.0375,True,True,0.4798,grande,32,5
jerk_rms,16.751,0.0022,0.041,True,True,0.4723,grande,32,5
jerk_rms_angular,16.174,0.0028,0.0531,False,True,0.4509,grande,32,5
rango_wx,12.679,0.013,0.2462,False,True,0.3214,grande,32,5
amplitud_media,11.639,0.0202,0.3847,False,True,0.2829,grande,32,5
velocidad_pico_media,11.639,0.0202,0.3847,False,True,0.2829,grande,32,5
amplitud_max,11.554,0.021,0.3988,False,True,0.2798,grande,32,5
velocidad_pico_max,11.071,0.0258,0.4898,False,True,0.2619,grande,32,5
rango_wy,8.595,0.0721,1.369,False,False,0.1702,grande,32,5
compensacion_lateral,8.434,0.0769,1.4613,False,False,0.1642,grande,32,5
regularidad,4.638,0.3265,6.2041,False,False,0.0236,pequeño,32,5
amplitud_cv,4.638,0.3265,6.2041,False,False,0.0236,pequeño,32,5
rango_angular_total,4.04,0.4006,7.6114,False,False,0.0015,ninguno,32,5
rms_acc_lateral,3.423,0.4897,9.3048,False,False,-0.0214,ninguno,32,5
energia_relativa_x,3.215,0.5225,9.9278,False,False,-0.0291,ninguno,32,5
rango_wz,2.534,0.6385,12.1323,False,False,-0.0543,ninguno,32,5
amplitud_angular_media,2.445,0.6544,12.4341,False,False,-0.0576,ninguno,32,5
