feature,score_a,score_b,U,p_valor,p_bonf,sig_bonf
cadencia,0,1,4687.0,0.4570645256701591,1.0,False
cadencia,0,2,8446.0,1.702341958334616e-22,1.702341958334616e-21,True
cadencia,0,3,9238.0,2.8826407649015433e-30,2.8826407649015434e-29,True
cadencia,0,4,8940.0,1.3149598916163913e-29,1.3149598916163914e-28,True
cadencia,1,2,3599.0,3.6014249808841495e-21,3.6014249808841497e-20,True
cadencia,1,3,3658.0,2.5029868170676953e-21,2.5029868170676952e-20,True
cadencia,1,4,3540.0,5.2135996866661335e-21,5.213599686666133e-20,True
cadencia,2,3,3782.0,1.1435415960884657e-21,1.1435415960884657e-20,True
cadencia,2,4,3660.0,2.4415349124506834e-21,2.4415349124506834e-20,True
cadencia,3,4,3720.0,1.6864159635790246e-21,1.6864159635790245e-20,True
intervalo_medio,0,1,4104.0,0.4570645256701591,1.0,False
intervalo_medio,0,2,643.0,1.702341958334616e-22,1.702341958334616e-21,True
intervalo_medio,0,3,0.0,2.8826407649015433e-30,2.8826407649015434e-29,True
intervalo_medio,0,4,0.0,1.3149598916163913e-29,1.3149598916163914e-28,True
intervalo_medio,1,2,0.0,3.6014249808841495e-21,3.6014249808841497e-20,True
intervalo_medio,1,3,0.0,2.5029868170676953e-21,2.5029868170676952e-20,True
intervalo_medio,1,4,0.0,5.2135996866661335e-21,5.213599686666133e-20,True
intervalo_medio,2,3,0.0,1.1435415960884657e-21,1.1435415960884657e-20,True
intervalo_medio,2,4,0.0,2.4415349124506834e-21,2.4415349124506834e-20,True
intervalo_medio,3,4,0.0,1.6864159635790246e-21,1.6864159635790245e-20,True
jerk_rms_angular,0,1,2351.0,1.753697463496375e-07,1.7536974634963751e-06,True
jerk_rms_angular,0,2,5282.0,0.06524624016287278,0.6524624016287278,False
jerk_rms_angular,0,3,9009.0,1.683361210628411e-27,1.683361210628411e-26,True
jerk_rms_angular,0,4,8928.0,1.85672241209402e-29,1.8567224120940198e-28,True
jerk_rms_angular,1,2,3440.0,7.372416691433185e-18,7.372416691433185e-17,True
jerk_rms_angular,1,3,3658.0,2.5029868170676953e-21,2.5029868170676952e-20,True
jerk_rms_angular,1,4,3540.0,5.2135996866661335e-21,5.213599686666133e-20,True
jerk_rms_angular,2,3,3759.0,3.497171893867323e-21,3.497171893867323e-20,True
jerk_rms_angular,2,4,3660.0,2.4415349124506834e-21,2.4415349124506834e-20,True
jerk_rms_angular,3,4,3660.0,3.098588061677626e-20,3.0985880616776263e-19,True
jerk_rms,0,1,2157.0,1.0683381309503416e-08,1.0683381309503416e-07,True
jerk_rms,0,2,4800.0,0.5235587977257496,1.0,False
jerk_rms,0,3,8844.0,1.3602547756670122e-25,1.3602547756670123e-24,True
jerk_rms,0,4,8927.0,1.9108001989199095e-29,1.9108001989199094e-28,True
jerk_rms,1,2,3538.0,7.280267902644784e-20,7.280267902644784e-19,True
jerk_rms,1,3,3658.0,2.5029868170676953e-21,2.5029868170676952e-20,True
jerk_rms,1,4,3540.0,5.2135996866661335e-21,5.213599686666133e-20,True
jerk_rms,2,3,3782.0,1.1435415960884657e-21,1.1435415960884657e-20,True
jerk_rms,2,4,3660.0,2.4415349124506834e-21,2.4415349124506834e-20,True
jerk_rms,3,4,3683.0,1.0264756729975483e-20,1.0264756729975483e-19,True
frecuencia,0,1,1763.5,1.7540031071116763e-11,1.7540031071116762e-10,True
frecuencia,0,2,5536.0,0.013177413212631125,0.13177413212631126,False
frecuencia,0,3,8593.0,7.89743906708101e-23,7.89743906708101e-22,True
frecuencia,0,4,8780.0,1.2134990058298174e-27,1.2134990058298174e-26,True
frecuencia,1,2,3459.0,3.0729379431633903e-18,3.0729379431633905e-17,True
frecuencia,1,3,3658.0,2.5022164630145305e-21,2.5022164630145306e-20,True
frecuencia,1,4,3540.0,5.2127696600730715e-21,5.212769660073071e-20,True
frecuencia,2,3,3682.0,1.3382193849579412e-19,1.3382193849579413e-18,True
frecuencia,2,4,3585.0,9.419408557314329e-20,9.419408557314328e-19,True
frecuencia,3,4,3179.0,1.4558636911932682e-11,1.4558636911932683e-10,True
amplitud_media,0,1,1472.0,8.012463599023996e-14,8.012463599023996e-13,True
amplitud_media,0,2,2103.0,1.021368497282176e-09,1.021368497282176e-08,True
amplitud_media,0,3,4561.0,0.8868179927915324,1.0,False
amplitud_media,0,4,6568.0,1.1397056900410607e-07,1.1397056900410607e-06,True
amplitud_media,1,2,2971.0,7.895722364640305e-10,7.895722364640304e-09,True
amplitud_media,1,3,3649.0,3.91074265987791e-21,3.9107426598779097e-20,True
amplitud_media,1,4,3540.0,5.2135996866661335e-21,5.213599686666133e-20,True
amplitud_media,2,3,3615.0,2.8248512338740516e-18,2.824851233874052e-17,True
amplitud_media,2,4,3660.0,2.4415349124506834e-21,2.4415349124506834e-20,True
amplitud_media,3,4,3343.0,3.1478829747490393e-14,3.1478829747490395e-13,True
velocidad_pico_media,0,1,1472.0,8.012463599023996e-14,8.012463599023996e-13,True
velocidad_pico_media,0,2,2103.0,1.021368497282176e-09,1.021368497282176e-08,True
velocidad_pico_media,0,3,4561.0,0.8868179927915324,1.0,False
velocidad_pico_media,0,4,6568.0,1.1397056900410607e-07,1.1397056900410607e-06,True
velocidad_pico_media,1,2,2971.0,7.895722364640305e-10,7.895722364640304e-09,True
velocidad_pico_media,1,3,3649.0,3.91074265987791e-21,3.9107426598779097e-20,True
velocidad_pico_media,1,4,3540.0,5.2135996866661335e-21,5.213599686666133e-20,True
velocidad_pico_media,2,3,3615.0,2.8248512338740516e-18,2.824851233874052e-17,True
velocidad_pico_media,2,4,3660.0,2.4415349124506834e-21,2.4415349124506834e-20,True
velocidad_pico_media,3,4,3343.0,3.1478829747490393e-14,3.1478829747490395e-13,True
