feature,rho_LDA_original,p_LDA_original,rho_KNN_original,p_KNN_original,rho_LDA_ajustado,p_LDA_ajustado
frecuencia,-0.6391809251016752,2.7365594137000434e-46,-0.6391809251016752,2.7365594137000434e-46,-0.6391809251016752,2.7365594137000434e-46
cadencia,-0.8534684322754039,3.7309835279553e-112,-0.8534684322754039,3.7309835279553e-112,-0.8534684322754039,3.7309835279553e-112
intervalo_medio,0.8534684322754039,3.7309835279553e-112,0.8534684322754039,3.7309835279553e-112,0.8534684322754039,3.7309835279553e-112
intervalo_cv,0.6185460521338151,1.1990995727288284e-42,0.6185460521338151,1.1990995727288284e-42,0.6185460521338151,1.1990995727288284e-42
intervalo_std,0.7517324009032131,2.490007983157952e-72,0.7517324009032131,2.490007983157952e-72,0.7517324009032131,2.490007983157952e-72
amplitud_media,-0.1912513477605601,0.00014190663876406404,-0.1912513477605601,0.00014190663876406404,-0.7097165141521086,3.777421352708045e-61
amplitud_cv,0.04587842647948476,0.36559299674852513,0.04587842647948476,0.36559299674852513,0.04587842647948476,0.36559299674852513
amplitud_max,-0.19970608561111583,6.996157530283691e-05,-0.19970608561111583,6.996157530283691e-05,-0.7344895828650315,1.7479003382249517e-67
amplitud_angular_media,0.15971182274558546,0.0015330844024600227,0.15971182274558546,0.0015330844024600227,-0.6295358369463849,1.4912757352419596e-44
rango_angular_total,0.16704589640374395,0.0009135789772191748,0.16704589640374395,0.0009135789772191748,0.16704589640374395,0.0009135789772191748
velocidad_pico_media,-0.1912513477605601,0.00014190663876406404,-0.1912513477605601,0.00014190663876406404,-0.1912513477605601,0.00014190663876406404
velocidad_pico_max,-0.27683611613621145,2.611018873317967e-08,-0.27683611613621145,2.611018873317967e-08,-0.27683611613621145,2.611018873317967e-08
regularidad,-0.04587842647948476,0.36559299674852513,-0.04587842647948476,0.36559299674852513,-0.04587842647948476,0.36559299674852513
n_hesitaciones,0.3684996258900018,5.078133129058484e-14,0.3684996258900018,5.078133129058484e-14,0.3684996258900018,5.078133129058484e-14
decremento_pct,0.19244675065722464,0.00012863569859126306,0.19244675065722464,0.00012863569859126306,0.19244675065722464,0.00012863569859126306
decremento_pendiente,0.028056160113025738,0.580189901408908,0.028056160113025738,0.580189901408908,0.028056160113025738,0.580189901408908
compensacion_lateral,-0.2763450058204275,2.7693982491074624e-08,-0.2763450058204275,2.7693982491074624e-08,-0.2763450058204275,2.7693982491074624e-08
jerk_rms,-0.6537032218954528,5.041398782144683e-49,-0.6537032218954528,5.041398782144683e-49,-0.6537032218954528,5.041398782144683e-49
jerk_rms_angular,-0.6803552728415412,1.8664865241763018e-54,-0.6803552728415412,1.8664865241763018e-54,-0.6803552728415412,1.8664865241763018e-54
rms_acc_lateral,-0.3319890120764255,1.6323045923238727e-11,-0.3319890120764255,1.6323045923238727e-11,-0.3319890120764255,1.6323045923238727e-11
energia_relativa_dom,-0.2640875460418895,1.1602491346498555e-07,-0.2640875460418895,1.1602491346498555e-07,-0.2640875460418895,1.1602491346498555e-07
rango_wx,-0.25463028944370436,3.3391221204414204e-07,-0.25463028944370436,3.3391221204414204e-07,-0.25463028944370436,3.3391221204414204e-07
rango_wy,0.04854663985898682,0.3383457843944049,0.04854663985898682,0.3383457843944049,0.04854663985898682,0.3383457843944049
rango_wz,-0.09723307648654038,0.0547243880830045,-0.09723307648654038,0.0547243880830045,-0.09723307648654038,0.0547243880830045
